,time,travel,position,force,stress
0,0.0,0.0,19.55226300774,-0.008502873592079,-6.137298696893028
1,0.0,0.0,19.55226369319,-0.008537265472114,-6.1621224506789405
2,0.0,0.0,19.55225339649,-0.01011285465211,-7.299368737656127
3,0.0,0.0,19.55226480333,-0.01109645050019,-8.009319491518244
4,0.0,0.0,19.55225532619,-0.0112309185788,-8.10637735727267
5,0.0,0.0,19.52033558239,-0.01034615933895,-7.467765990069245
6,0.0,0.0,19.52033215502,-0.01026012003422,-7.40566358350249
7,0.007999999999811,-7.495516911149e-06,19.52033965054,-0.01030461490154,-7.437779583848052
8,0.01100000000042,-1.604878343642e-05,19.5203482038,-0.01022302545607,-7.378889046203256
9,0.01299999999992,-1.136236824095e-05,19.52034351739,-0.01004301942885,-7.248962293285355
10,0.01400000000012,-1.200311817229e-05,19.52034415814,-0.009973639622331,-7.198884564676475
11,0.1139999999996,-9.184522241412e-06,19.52034133954,-0.009810425341129,-7.0810779450098575
12,0.2139999999999,-5.347007572709e-06,19.52033750203,-0.009611482731998,-6.937482935328236
13,0.3140000000003,5.011895041207e-07,19.52033165383,-0.008639384992421,-6.235831414139405
14,0.3720000000003,0.01005928218365,19.51027287283,0.027722787112,20.010061701401764
15,0.3805000000002,0.02093498408794,19.49939717093,0.07238525897264,52.247037516928
16,0.3855000000003,0.0317267626524,19.48860539237,0.07610804587603,54.934112064557425
17,0.3895000000002,0.04268257319927,19.47764958182,0.07967717200518,57.51027562905931
18,0.393,0.0539435595274,19.46638859549,0.08893925696611,64.19556635408931
19,0.3959999999997,0.06489937007427,19.45543278494,0.09884221106768,71.34343073720507
20,0.3985000000002,0.07499305903912,19.44533909598,0.1057315543294,76.31609756151154
21,0.4009999999998,0.08599464595318,19.43433750906,0.1112895682454,80.32782267944779
22,0.4035000000003,0.0978659838438,19.42246617117,0.1149669364095,82.98211438414295
23,0.4054999999998,0.1079978197813,19.41233433524,0.1168018057942,84.30650682179824
24,0.4075000000003,0.1186484545469,19.40168370047,0.1179691031575,85.1490516990197
25,0.4094999999998,0.1297873705626,19.39054478446,0.1192775443196,86.09347291758259
26,0.4115000000002,0.1414145678282,19.37891758719,0.12040001899,86.90366517286424
27,0.4134999999997,0.1534842699766,19.36684788504,0.1202135756612,86.7690920327961
28,0.4155000000001,0.1659507006407,19.35438145438,0.118479795754,85.51766508284467
29,0.4175000000005,0.1787680834532,19.34156407156,0.1163359358907,83.97024605998521
30,0.4195,0.1918753832579,19.32845677176,0.1139937117696,82.27964947630207
31,0.4215000000004,0.2051963061094,19.31513584891,0.1099463179708,79.35827655240863
32,0.4229999999998,0.2152976244688,19.30503453055,0.1066199019551,76.95729899377505
33,0.4245000000001,0.2254447191954,19.29488743582,0.1033468917012,74.5948692400397
34,0.4260000000004,0.2356223315001,19.28470982352,0.09924990683794,71.63770192593311
35,0.4274999999998,0.2457694262266,19.27456272879,0.09518343955278,68.70256192885968
36,0.4290000000001,0.2558860182762,19.26444613674,0.0928183272481,66.99544485739807
37,0.4305000000004,0.2659110426903,19.25442111233,0.09302336722612,67.14344089383042
38,0.4324999999999,0.2791556715965,19.24117648342,0.09826476126909,70.92663259737279
39,0.4345000000003,0.2922629714012,19.22806918362,0.1067333891988,77.03921307909356
40,0.4364999999998,0.3052634596825,19.21506869534,0.1151104643941,83.0857116096355
41,0.4385000000002,0.3181266188622,19.20220553616,0.1228237822652,88.65311599432765
42,0.4404999999997,0.3308677077293,19.18946444729,0.1287518292665,92.93192770923913
43,0.4425000000001,0.343471467495,19.17686068752,0.133268430829,96.19197063281489
44,0.4444999999996,0.3558921217918,19.16444003323,0.1371975690126,99.02798770315978
45,0.4465,0.3681144118309,19.15221774319,0.1422024518251,102.64046769955453
46,0.4485000000004,0.3801230788231,19.1402090762,0.1491680890322,107.66820281653771
47,0.4504999999999,0.3919028639793,19.12842929104,0.1574993878603,113.68166037149385
48,0.4525000000003,0.4034537672997,19.11687838772,0.1670208722353,120.55418329146434
49,0.4544999999998,0.414775788784,19.10555636623,0.1777630597353,128.30779889348236
50,0.4565000000002,0.4259147047997,19.09441745022,0.1900921612978,137.2068349821621
51,0.4584999999997,0.4368552565575,19.08347689846,0.2028637677431,146.42526716807507
52,0.4605000000001,0.4476279616356,19.07270419338,0.2154675275087,155.52254911019745
53,0.4624999999996,0.4582480788231,19.0620840762,0.2280255109072,164.5867900768062
54,0.4645,0.4687461256981,19.05158602932,0.240430906415,173.54089445810493
55,0.4665000000005,0.4791373610497,19.04119479397,0.2525921463966,182.31876954744018
56,0.4684999999999,0.4894523024559,19.03087985256,0.2645245194435,190.93145051447254
57,0.4705000000004,0.4997062087059,19.02062594631,0.2764721512794,199.5551451399854
58,0.4724999999999,0.5098990797997,19.01043307522,0.2883587479591,208.13478513143195
59,0.4745000000003,0.5200461745262,19.00028598049,0.3000622391701,216.58226122060748
60,0.4764999999998,0.5301780104637,18.99015414455,0.3115673661232,224.88655974888712
61,0.4785000000002,0.5402793288231,18.9800528262,0.3220959305763,232.48598413152874
62,0.4804999999997,0.5503653883934,18.96996676662,0.3318005204201,239.49067095384248
63,0.4825000000001,0.5604361891747,18.95989596584,0.341550886631,246.5283987516698
64,0.4845000000005,0.5705069899559,18.94982516506,0.3517895340919,253.91856362231616
65,0.4865,0.5805625319481,18.93976962307,0.3622723221779,261.4849470294442
66,0.4885000000004,0.5906028151512,18.92972933987,0.3725109696388,268.87511190009053
67,0.4904999999999,0.6006583571434,18.91967379787,0.3830242753029,276.4635226242517
