           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  1.327909286687e+01, -1.623862236738e-02
                 0.0,                 0.0,  1.327908929059e+01, -1.612966507673e-02
                 0.0,                 0.0,  1.327910088370e+01, -1.574271917343e-02
                 0.0,                 0.0,  1.327909031877e+01, -1.522177457809e-02
                 0.0,                 0.0,  1.327909912536e+01, -1.513713598251e-02
                 0.0,                 0.0,  1.345236851331e+01, -1.054010167718e-02
  0.000000000000e+00,  0.000000000000e+00,  1.345237289734e+01, -1.042232289910e-02
  7.999986410141e-03,  2.723652869463e-06,  1.345237017369e+01, -1.042512431741e-02
  1.099999248981e-02,  6.143469363451e-06,  1.345236675387e+01, -1.075223460793e-02
  1.299999654293e-02,  1.070881262422e-05,  1.345236218853e+01, -1.098683848977e-02
  1.399999856949e-02,  1.330906525254e-05,  1.345235958828e+01, -1.112893596292e-02
  1.144999861717e-01,  2.787972334772e-06,  1.345237010937e+01, -1.593241840601e-02
  2.144999951124e-01,  1.379934474244e-05,  1.345235909800e+01, -1.742050610483e-02
  3.149999976158e-01,  5.521007551579e-06,  1.345236737633e+01, -1.602103747427e-02
  4.155000001192e-01,  3.856391776935e-05,  1.345233433342e+01, -1.642507687211e-02
  5.089999884367e-01,  1.012553926557e-02,  1.344224735808e+01, -1.068351231515e-02
  5.304999947548e-01,  2.012576907873e-02,  1.343224712826e+01,  4.302525427192e-03
  5.419999957085e-01,  3.022327274084e-02,  1.342214962460e+01,  1.687672175467e-02
  5.499999970198e-01,  4.029407352209e-02,  1.341207882382e+01,  1.037361659110e-02
  5.569999963045e-01,  5.056323856115e-02,  1.340180965878e+01,  6.485485937446e-03
  5.634999871254e-01,  6.089343875647e-02,  1.339147945858e+01,  3.530049463734e-03
  5.699999928474e-01,  7.165390253067e-02,  1.338071899481e+01,  3.930769395083e-03
  5.759999901056e-01,  8.176285028458e-02,  1.337061004706e+01,  2.450666856021e-03
  5.819999873638e-01,  9.176498651505e-02,  1.336060791083e+01, -9.189029224217e-04
  5.884999930859e-01,  1.021714806557e-01,  1.335020141669e+01, -1.402892637998e-03
  5.954999923706e-01,  1.124444603920e-01,  1.333992843695e+01,  2.113066148013e-03
  6.030000001192e-01,  1.227594017982e-01,  1.332961349554e+01,  1.874514669180e-02
  6.104999929667e-01,  1.331887841225e-01,  1.331918411322e+01,  2.927752584219e-02
  6.174999922514e-01,  1.435227990150e-01,  1.330885009833e+01,  4.154070466757e-02
  6.239999979734e-01,  1.538987755775e-01,  1.329847412176e+01,  3.418787568808e-02
  6.304999887943e-01,  1.642099022865e-01,  1.328816299505e+01,  2.926953881979e-02
  6.374999880791e-01,  1.747117638588e-01,  1.327766113348e+01,  3.077765554190e-02
  6.449999958277e-01,  1.850190758705e-01,  1.326735382147e+01,  3.167351335287e-02
  6.534999907017e-01,  1.952691674232e-01,  1.325710372992e+01,  3.372813016176e-02
  6.634999960661e-01,  2.052751183510e-01,  1.324709777899e+01,  3.145337849855e-02
  6.779999881983e-01,  2.153764367104e-01,  1.323699646063e+01,  6.059432774782e-02
  6.919999867678e-01,  2.254396080971e-01,  1.322693328924e+01,  7.726074010134e-02
  7.029999941587e-01,  2.356477379799e-01,  1.321672515936e+01,  8.592963963747e-02
  7.119999974966e-01,  2.457528710365e-01,  1.320662002630e+01,  8.756338804960e-02
  7.204999923706e-01,  2.562051415443e-01,  1.319616775580e+01,  8.759181946516e-02
  7.284999936819e-01,  2.662187218666e-01,  1.318615417547e+01,  8.817704766989e-02
  7.369999885559e-01,  2.764688134193e-01,  1.317590408392e+01,  9.103187173605e-02
  7.459999918938e-01,  2.864976525307e-01,  1.316587524481e+01,  9.679111093283e-02
  7.564999908209e-01,  2.968698143959e-01,  1.315550308294e+01,  1.054695472121e-01
  7.679999917746e-01,  3.068853020668e-01,  1.314548759527e+01,  1.237648352981e-01
  7.794999927282e-01,  3.170724511147e-01,  1.313530044623e+01,  1.369751393795e-01
  7.899999916553e-01,  3.272290825844e-01,  1.312514381476e+01,  1.448124349117e-01
  7.999999970198e-01,  3.375783562660e-01,  1.311479454107e+01,  1.491726338863e-01
  8.099999874830e-01,  3.480802178383e-01,  1.310429267950e+01,  1.551216542721e-01
  8.199999928474e-01,  3.583853244781e-01,  1.309398757286e+01,  1.613980829716e-01
  8.304999917746e-01,  3.685953617096e-01,  1.308377753563e+01,  1.732274591923e-01
  8.414999991655e-01,  3.788645267487e-01,  1.307350837059e+01,  1.856977045536e-01
  8.524999916553e-01,  3.891279697418e-01,  1.306324492760e+01,  1.983701288700e-01
  8.629999905825e-01,  3.992598056793e-01,  1.305311309166e+01,  2.089749872684e-01
  8.734999895096e-01,  4.097311496735e-01,  1.304264174767e+01,  2.182370722294e-01
  8.834999948740e-01,  4.198820590973e-01,  1.303249083824e+01,  2.291165888309e-01
  8.935000002384e-01,  4.300787448883e-01,  1.302229415245e+01,  2.405721247196e-01
  9.034999907017e-01,  4.402143955231e-01,  1.301215850182e+01,  2.519742548466e-01
  9.139999896288e-01,  4.506742954254e-01,  1.300169860192e+01,  2.665425837040e-01
  9.244999885559e-01,  4.610540866852e-01,  1.299131881066e+01,  2.803403437138e-01
  9.349999874830e-01,  4.714376926422e-01,  1.298093520470e+01,  2.932302057743e-01
  9.454999864101e-01,  4.818747043610e-01,  1.297049819298e+01,  3.075620234013e-01
  9.560000002384e-01,  4.923498630524e-01,  1.296002303429e+01,  3.218900263309e-01
  9.659999907017e-01,  5.024130344391e-01,  1.294995986290e+01,  3.365613520145e-01
  9.759999960661e-01,  5.124762058258e-01,  1.293989669151e+01,  3.506375849247e-01
  9.859999865294e-01,  5.224783420563e-01,  1.292989455528e+01,  3.655187189579e-01
  9.965000003576e-01,  5.328505039215e-01,  1.291952239342e+01,  3.825589716434e-01
  1.006999999285e+00,  5.431883335114e-01,  1.290918456383e+01,  4.016324579716e-01
  1.017499998212e+00,  5.536444187164e-01,  1.289872847862e+01,  4.191190302372e-01
  1.027499988675e+00,  5.636961460114e-01,  1.288867675133e+01,  4.379788935184e-01
  1.037499994040e+00,  5.737974643707e-01,  1.287857543297e+01,  4.570790827274e-01
  1.047499999404e+00,  5.839331150055e-01,  1.286843978234e+01,  4.762898981571e-01
  1.057499989867e+00,  5.940229892731e-01,  1.285834990807e+01,  4.955045282841e-01
  1.067999988794e+00,  6.044523715973e-01,  1.284792052574e+01,  5.163289308548e-01
  1.078499987721e+00,  6.148213744164e-01,  1.283755152292e+01,  5.373216271400e-01
  1.088999986649e+00,  6.252049803734e-01,  1.282716791697e+01,  5.584588646889e-01
  1.099500000477e+00,  6.356305480003e-01,  1.281674234934e+01,  5.794168114662e-01
  1.109999999404e+00,  6.461095213890e-01,  1.280626337595e+01,  6.013208031654e-01
  1.119999989867e+00,  6.561307311058e-01,  1.279624216623e+01,  6.223245263100e-01
  1.130499988794e+00,  6.665486693382e-01,  1.278582422800e+01,  6.457925438881e-01
  1.140999987721e+00,  6.768712401390e-01,  1.277550165720e+01,  6.705117821693e-01
  1.151499986649e+00,  6.871499419212e-01,  1.276522295542e+01,  6.943383812904e-01
  1.162000000477e+00,  6.973943114281e-01,  1.275497858591e+01,  7.191796898842e-01
  1.172499999404e+00,  7.076768279076e-01,  1.274469606943e+01,  7.468591332436e-01
  1.182999998331e+00,  7.181023955345e-01,  1.273427050181e+01,  7.735620141029e-01
  1.192999988794e+00,  7.281426787376e-01,  1.272423021860e+01,  7.994027733803e-01
  1.202999994159e+00,  7.382134795189e-01,  1.271415941782e+01,  8.248162865639e-01
  1.213499993086e+00,  7.487115263939e-01,  1.270366137095e+01,  8.530679345131e-01
  1.223999992013e+00,  7.592019438744e-01,  1.269317095347e+01,  8.806939721107e-01
  1.234499990940e+00,  7.696961760521e-01,  1.268267672129e+01,  9.089532494545e-01
  1.244999989867e+00,  7.801827788353e-01,  1.267219011851e+01,  9.393563866615e-01
  1.254999995232e+00,  7.902039885521e-01,  1.266216890879e+01,  9.690576195717e-01
  1.265000000596e+00,  8.002557158470e-01,  1.265211718149e+01,  9.977288842201e-01
  1.274999991059e+00,  8.103150725365e-01,  1.264205782480e+01,  1.025705933571e+00
  1.284999996424e+00,  8.204163908958e-01,  1.263195650644e+01,  1.055025696754e+00
  1.294999986887e+00,  8.305558562279e-01,  1.262181704111e+01,  1.084650635719e+00
  1.304999992251e+00,  8.407678008080e-01,  1.261160509653e+01,  1.114794373512e+00
  1.314999997616e+00,  8.511475920677e-01,  1.260122530527e+01,  1.145342469215e+00
  1.324999988079e+00,  8.614968657494e-01,  1.259087603159e+01,  1.176741003990e+00
  1.334999993443e+00,  8.716287016869e-01,  1.258074419565e+01,  1.207853674889e+00
  1.345499992371e+00,  8.820924162865e-01,  1.257028048105e+01,  1.240713477135e+00
  1.355999991298e+00,  8.924455046654e-01,  1.255992739268e+01,  1.273832678795e+00
  1.366499990225e+00,  9.027490019798e-01,  1.254962389536e+01,  1.307287573814e+00
  1.376999989152e+00,  9.131783843040e-01,  1.253919451304e+01,  1.341802954674e+00
  1.386999994516e+00,  9.232911467552e-01,  1.252908175059e+01,  1.374174475670e+00
  1.396999999881e+00,  9.334802031517e-01,  1.251889269419e+01,  1.406683325768e+00
  1.406999990344e+00,  9.435395598412e-01,  1.250883333750e+01,  1.438841223717e+00
  1.417499989271e+00,  9.539155364037e-01,  1.249845736094e+01,  1.473883032799e+00
  1.427999988198e+00,  9.642533659935e-01,  1.248811953135e+01,  1.509481787682e+00
  1.438499987125e+00,  9.747132658958e-01,  1.247765963144e+01,  1.544309973717e+00
  1.448499992490e+00,  9.847535490990e-01,  1.246761934824e+01,  1.577955603600e+00
  1.458499997854e+00,  9.947976469994e-01,  1.245757525034e+01,  1.611692786217e+00
  1.468999996781e+00,  1.005207896233e+00,  1.244716500111e+01,  1.647634863853e+00
  1.479499995708e+00,  1.015480875969e+00,  1.243689202137e+01,  1.682684302330e+00
  1.489999994636e+00,  1.025725245476e+00,  1.242664765186e+01,  1.718969702721e+00
  1.500499993563e+00,  1.036108851433e+00,  1.241626404591e+01,  1.756018042564e+00
  1.510499998927e+00,  1.046187281609e+00,  1.240618561573e+01,  1.791159033775e+00
  1.520499989390e+00,  1.056403040886e+00,  1.239596985645e+01,  1.827360510826e+00
  1.530499994755e+00,  1.066634058952e+00,  1.238573883839e+01,  1.863867163658e+00
  1.540500000119e+00,  1.076727747917e+00,  1.237564514942e+01,  1.899969458580e+00
  1.550999999046e+00,  1.087149500847e+00,  1.236522339649e+01,  1.937872290611e+00
  1.561499997973e+00,  1.097483515739e+00,  1.235488938160e+01,  1.974134802818e+00
  1.571999996901e+00,  1.107831478119e+00,  1.234454141922e+01,  2.010486364365e+00
  1.582499995828e+00,  1.118257045746e+00,  1.233411585159e+01,  2.048953771591e+00
  1.592499986291e+00,  1.128266811371e+00,  1.232410608597e+01,  2.084148168564e+00
  1.602499991655e+00,  1.138352870941e+00,  1.231402002640e+01,  2.120540380478e+00
  1.612499997020e+00,  1.148526668549e+00,  1.230384622879e+01,  2.158206701279e+00
  1.622499987483e+00,  1.158685207367e+00,  1.229368768997e+01,  2.194820165634e+00
  1.632499992847e+00,  1.168778896332e+00,  1.228359400101e+01,  2.231723546982e+00
  1.642499998212e+00,  1.178834438324e+00,  1.227353845902e+01,  2.270061254501e+00
  1.652499988675e+00,  1.188882350922e+00,  1.226349054642e+01,  2.307826757431e+00
  1.662999987602e+00,  1.199346065521e+00,  1.225302683182e+01,  2.347415685654e+00
  1.673499986529e+00,  1.209821224213e+00,  1.224255167313e+01,  2.387546300888e+00
  1.683499991894e+00,  1.219911098480e+00,  1.223246179886e+01,  2.424602270126e+00
  1.693499997258e+00,  1.230050563812e+00,  1.222232233353e+01,  2.459644079208e+00
  1.703499987721e+00,  1.240128993988e+00,  1.221224390335e+01,  2.496967077255e+00
  1.713999986649e+00,  1.250627040863e+00,  1.220174585648e+01,  2.534969091415e+00
  1.724500000477e+00,  1.261048793793e+00,  1.219132410355e+01,  2.574947118759e+00
  1.734999999404e+00,  1.271428585052e+00,  1.218094431229e+01,  2.615100622177e+00
  1.745499998331e+00,  1.281865596771e+00,  1.217050730057e+01,  2.655856847763e+00
  1.755499988794e+00,  1.291985988617e+00,  1.216038690872e+01,  2.692577123642e+00
  1.765499994159e+00,  1.302190303802e+00,  1.215018259354e+01,  2.729945898056e+00
  1.775499999523e+00,  1.312413692474e+00,  1.213995920487e+01,  2.766048192978e+00
  1.785499989986e+00,  1.322522640228e+00,  1.212985025711e+01,  2.802127599716e+00
  1.795999988914e+00,  1.332875728607e+00,  1.211949716873e+01,  2.841373205185e+00
  1.806499987841e+00,  1.343083858490e+00,  1.210928903885e+01,  2.881168127060e+00
  1.816999986768e+00,  1.353314876556e+00,  1.209905802078e+01,  2.921298742294e+00
  1.827500000596e+00,  1.363687515259e+00,  1.208868538208e+01,  2.960690021515e+00
  1.837499991059e+00,  1.373720169067e+00,  1.207865272827e+01,  2.999340534210e+00
  1.847499996424e+00,  1.383859634399e+00,  1.206851326294e+01,  3.038967609406e+00
  1.857499986887e+00,  1.394002914429e+00,  1.205836998291e+01,  3.079006671906e+00
  1.867499992251e+00,  1.404130935669e+00,  1.204824196167e+01,  3.119358539581e+00
  1.877499997616e+00,  1.414186477661e+00,  1.203818641968e+01,  3.160160541534e+00
  1.887999996543e+00,  1.424661636353e+00,  1.202771126099e+01,  3.203938007355e+00
  1.897999987006e+00,  1.434713363647e+00,  1.201765953369e+01,  3.244114398956e+00
  1.907999992371e+00,  1.444822311401e+00,  1.200755058594e+01,  3.284069538116e+00
  1.917999997735e+00,  1.454854965210e+00,  1.199751793213e+01,  3.325176715851e+00
  1.928499996662e+00,  1.465234756470e+00,  1.198713814087e+01,  3.369244098663e+00
  1.938999995589e+00,  1.475561141968e+00,  1.197681175537e+01,  3.411884784698e+00
  1.949499994516e+00,  1.485860824585e+00,  1.196651207276e+01,  3.456257343292e+00
  1.959999993443e+00,  1.496278762817e+00,  1.195609413452e+01,  3.500339984894e+00
  1.969999998808e+00,  1.506429672241e+00,  1.194594322510e+01,  3.542622089386e+00
  1.979999989271e+00,  1.516733169556e+00,  1.193563972779e+01,  3.584507465363e+00
  1.989999994636e+00,  1.527017593384e+00,  1.192535530396e+01,  3.627796649933e+00
  2.000000000000e+00,  1.537191390991e+00,  1.191518150635e+01,  3.671268939972e+00
  2.009999990463e+00,  1.547269821167e+00,  1.190510307617e+01,  3.713978290558e+00
  2.020499989390e+00,  1.557756423950e+00,  1.189461647339e+01,  3.759205341339e+00
  2.030499994755e+00,  1.567808151245e+00,  1.188456474610e+01,  3.801044940948e+00
  2.040500000119e+00,  1.577981948853e+00,  1.187439094849e+01,  3.843677997589e+00
  2.050499990582e+00,  1.588121414185e+00,  1.186425148316e+01,  3.886097431183e+00
  2.060499995947e+00,  1.598142623901e+00,  1.185423027344e+01,  3.929752826691e+00
  2.070999994874e+00,  1.608602523804e+00,  1.184377037354e+01,  3.974873065948e+00
  2.081499993801e+00,  1.618996739388e+00,  1.183337615795e+01,  4.020591735840e+00
  2.091999992728e+00,  1.629380345345e+00,  1.182299255200e+01,  4.065208435059e+00
  2.102499991655e+00,  1.639828801155e+00,  1.181254409619e+01,  4.109840393066e+00
  2.112999990582e+00,  1.650277256966e+00,  1.180209564038e+01,  4.155189514160e+00
  2.123499989510e+00,  1.660649418831e+00,  1.179172347851e+01,  4.200263977051e+00
  2.133999988437e+00,  1.670931935310e+00,  1.178144096203e+01,  4.247703552246e+00
  2.144499987364e+00,  1.681300282478e+00,  1.177107261486e+01,  4.294288635254e+00
  2.154499992728e+00,  1.691405415535e+00,  1.176096748181e+01,  4.338005065918e+00
  2.164499998093e+00,  1.701651692390e+00,  1.175072120495e+01,  4.382621765137e+00
  2.174499988556e+00,  1.711936116219e+00,  1.174043678112e+01,  4.427391052246e+00
  2.184499993920e+00,  1.722220540047e+00,  1.173015235729e+01,  4.470970153809e+00
  2.194499999285e+00,  1.732360005379e+00,  1.172001289196e+01,  4.515724182129e+00
  2.204999998212e+00,  1.742823719978e+00,  1.170954917736e+01,  4.564628601074e+00
  2.215499997139e+00,  1.753237843513e+00,  1.169913505383e+01,  4.611534118652e+00
  2.225999996066e+00,  1.763693928719e+00,  1.168867896862e+01,  4.658500671387e+00
  2.236499994993e+00,  1.774157643318e+00,  1.167821525402e+01,  4.706474304199e+00
  2.246500000358e+00,  1.784194111824e+00,  1.166817878552e+01,  4.751976013184e+00
