           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  2.495567154717e+01, -6.419914774597e-03
                 0.0,                 0.0,  2.495567166638e+01, -6.232517771423e-03
                 0.0,                 0.0,  2.495565934964e+01, -5.802717059851e-03
                 0.0,                 0.0,  2.495566887893e+01, -6.200101226568e-03
                 0.0,                 0.0,  2.495567431785e+01, -6.262328475714e-03
                 0.0,                 0.0,  2.497066436132e+01, -7.357613183558e-03
  0.000000000000e+00,  0.000000000000e+00,  2.497066105175e+01, -6.721512414515e-03
  8.000001311302e-03,  4.014931619167e-06,  2.497065703682e+01, -6.417707540095e-03
  1.099999248981e-02,  7.783062756062e-06,  2.497065326869e+01, -6.121353246272e-03
  1.299999654293e-02,  1.026783138514e-05,  2.497065078392e+01, -5.819515325129e-03
  1.399999856949e-02,  1.240242272615e-05,  2.497064864933e+01, -5.680278874934e-03
  1.145000010729e-01,  1.270906159334e-05,  2.497064834269e+01, -5.454290192574e-03
  2.150000035763e-01,  9.229684110323e-06,  2.497065182207e+01, -6.224520038813e-03
  3.154999911785e-01,  9.317373951490e-06,  2.497065173438e+01, -5.907706450671e-03
  3.904999941587e-01,  1.005164626986e-02,  2.496060940548e+01,  2.768275886774e-02
  4.015000015497e-01,  2.021018415689e-02,  2.495045086759e+01,  1.640255004168e-02
  4.099999964237e-01,  3.035727888346e-02,  2.494030377287e+01,  1.095206197351e-02
  4.179999977350e-01,  4.080573469400e-02,  2.492985531706e+01,  1.154769491404e-02
  4.254999905825e-01,  5.121604353189e-02,  2.491944500822e+01,  9.661446325481e-03
  4.329999983311e-01,  6.183997541666e-02,  2.490882107633e+01,  8.091694675386e-03
  4.404999911785e-01,  7.199469953775e-02,  2.489866635221e+01, -8.626216091216e-03
  4.494999945164e-01,  8.209601789713e-02,  2.488856503385e+01,  6.314284168184e-03
  4.594999998808e-01,  9.234610944986e-02,  2.487831494230e+01,  2.068043313920e-02
  4.689999967813e-01,  1.024588719010e-01,  2.486820217985e+01,  2.893353067338e-02
  4.780000001192e-01,  1.127890720963e-01,  2.485787197965e+01,  3.667355328798e-02
  4.860000014305e-01,  1.230162754655e-01,  2.484764477629e+01,  3.636539727449e-02
  4.934999942780e-01,  1.331137865782e-01,  2.483754726517e+01,  3.222788125277e-02
  5.010000020266e-01,  1.431349962950e-01,  2.482752605546e+01,  2.849805913866e-02
  5.090000033379e-01,  1.532744616270e-01,  2.481738659012e+01,  2.893832884729e-02
  5.174999982119e-01,  1.632765978575e-01,  2.480738445389e+01,  2.936059795320e-02
  5.269999951124e-01,  1.733512133360e-01,  2.479730983842e+01,  2.744216285646e-02
  5.384999960661e-01,  1.835498064756e-01,  2.478711124528e+01,  4.017037898302e-02
  5.504999905825e-01,  1.936740130186e-01,  2.477698703873e+01,  5.457086116076e-02
  5.614999979734e-01,  2.041300982237e-01,  2.476653095353e+01,  5.769763141870e-02
  5.715000033379e-01,  2.145785540342e-01,  2.475608249772e+01,  5.461559444666e-02
  5.810000002384e-01,  2.247523516417e-01,  2.474590870011e+01,  5.332819372416e-02
  5.909999907017e-01,  2.351931780577e-01,  2.473546787369e+01,  5.097214132547e-02
  6.014999896288e-01,  2.454188615084e-01,  2.472524219024e+01,  5.513080209494e-02
  6.124999970198e-01,  2.557090222836e-01,  2.471495202947e+01,  6.368526071310e-02
  6.229999959469e-01,  2.657187879086e-01,  2.470494226384e+01,  7.100375741720e-02
  6.330000013113e-01,  2.757590711117e-01,  2.469490198064e+01,  7.322319597006e-02
  6.429999917746e-01,  2.860625684261e-01,  2.468459848333e+01,  7.480343431234e-02
  6.529999971390e-01,  2.963469922543e-01,  2.467431405950e+01,  7.644923776388e-02
  6.630000025034e-01,  3.064139783382e-01,  2.466424707341e+01,  7.912715524435e-02
  6.735000014305e-01,  3.168090283871e-01,  2.465385202336e+01,  8.319648355246e-02
  6.840000003576e-01,  3.271773755550e-01,  2.464348367620e+01,  8.849319070578e-02
  6.944999992847e-01,  3.376639783382e-01,  2.463299707341e+01,  9.151109308004e-02
  7.044999897480e-01,  3.477691113949e-01,  2.462289194036e+01,  9.413608163595e-02
  7.144999951124e-01,  3.579314649105e-01,  2.461272958684e+01,  9.638794511557e-02
