           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  3.158354300060e+01, -1.454963162541e-02
                 0.0,                 0.0,  3.158354433146e+01, -1.448299363256e-02
                 0.0,                 0.0,  3.158354185612e+01, -1.405637711287e-02
                 0.0,                 0.0,  3.158354876653e+01, -1.392508298159e-02
                 0.0,                 0.0,  3.158354700819e+01, -1.372004300356e-02
                 0.0,                 0.0,  3.158469493330e+01, -1.403088774532e-02
  0.000000000000e+00,  0.000000000000e+00,  3.158468680167e+01, -1.366300787777e-02
  8.000000147149e-03,  4.221678864269e-06,  3.158468257999e+01, -1.383477542549e-02
  1.100000017323e-02,  7.607967745571e-06,  3.158467919370e+01, -1.362305972725e-02
  1.300000003539e-02,  1.342029463558e-06,  3.158468545964e+01, -1.327353809029e-02
  1.400000019930e-02,  3.845424544124e-06,  3.158468295624e+01, -1.303798053414e-02
  1.145000001416e-01, -2.612424577819e-05,  3.158471292591e+01, -1.371464692056e-02
  2.145000000019e-01, -1.019165574689e-05,  3.158469699332e+01, -1.505952328444e-02
  3.145000000950e-01,  2.864688940463e-05,  3.158465815478e+01, -1.481971610337e-02
  4.145000001881e-01,  3.333381842822e-03,  3.158135341982e+01, -1.449875812978e-02
  4.520000000484e-01,  1.341753453016e-02,  3.157126926714e+01, -2.422365127131e-03
  4.680000001099e-01,  2.350168675184e-02,  3.156118511492e+01,  9.942916221917e-03
  4.780000001192e-01,  3.386621922255e-02,  3.155082058244e+01,  2.564897947013e-02
  4.855000001844e-01,  4.422693699598e-02,  3.154045986467e+01,  2.357372455299e-02
  4.920000000857e-01,  5.435877293348e-02,  3.153032802873e+01,  2.507766894996e-02
  4.985000002198e-01,  6.512766331434e-02,  3.151955913835e+01,  2.850326709449e-02
  5.045000000391e-01,  7.524805516005e-02,  3.150943874651e+01,  3.352531418204e-02
  5.105000000913e-01,  8.531242609024e-02,  3.149937437558e+01,  3.760668635368e-02
  5.170000002254e-01,  9.577995538712e-02,  3.148890684628e+01,  4.832789301872e-02
  5.240000002086e-01,  1.063695549965e-01,  3.147831724667e+01,  5.157911777496e-02
  5.315000000410e-01,  1.164403557777e-01,  3.146824644589e+01,  6.840384006500e-02
  5.400000000373e-01,  1.268964409828e-01,  3.145779036068e+01,  9.286367893219e-02
  5.485000000335e-01,  1.374898552895e-01,  3.144719694638e+01,  1.108118295670e-01
  5.565000001807e-01,  1.481290459633e-01,  3.143655775570e+01,  1.243311166763e-01
  5.640000000130e-01,  1.585927605629e-01,  3.142609404110e+01,  1.336961984634e-01
  5.715000000782e-01,  1.692548394203e-01,  3.141543196225e+01,  1.478220224380e-01
  5.790000001434e-01,  1.798978447914e-01,  3.140478895688e+01,  1.602731943130e-01
  5.865000002086e-01,  1.903272271156e-01,  3.139435957455e+01,  1.714082956314e-01
  5.945000001229e-01,  2.008596062660e-01,  3.138382719540e+01,  1.813379526138e-01
  6.035000002012e-01,  2.112699151039e-01,  3.137341688656e+01,  1.951967477798e-01
  6.140000000596e-01,  2.214494347572e-01,  3.136323736691e+01,  2.167955636978e-01
  6.260000001639e-01,  2.316995263100e-01,  3.135298727536e+01,  2.372270822525e-01
  6.385000001173e-01,  2.420106530190e-01,  3.134267614865e+01,  2.594743967056e-01
  6.500000001397e-01,  2.521806359291e-01,  3.133250616574e+01,  2.782579660416e-01
  6.604999999981e-01,  2.623906731606e-01,  3.132229612851e+01,  2.916895151138e-01
  6.705000000075e-01,  2.726216912270e-01,  3.131206511044e+01,  3.044344186783e-01
  6.805000000168e-01,  2.829251885414e-01,  3.130176161313e+01,  3.177706003189e-01
  6.905000000261e-01,  2.930493950844e-01,  3.129163740658e+01,  3.333917856216e-01
  7.010000001173e-01,  3.034940361977e-01,  3.128119276547e+01,  3.518282175064e-01
  7.115000002086e-01,  3.138585686684e-01,  3.127082823300e+01,  3.692194223404e-01
  7.220000000671e-01,  3.242421746254e-01,  3.126044462704e+01,  3.858629465103e-01
  7.325000001583e-01,  3.346105217934e-01,  3.125007627987e+01,  4.018617868423e-01
  7.430000000168e-01,  3.447957634926e-01,  3.123989103817e+01,  4.188333749771e-01
  7.535000001080e-01,  3.548932671547e-01,  3.122979353451e+01,  4.350992441177e-01
  7.640000001993e-01,  3.650276958942e-01,  3.121965910577e+01,  4.541415274143e-01
  7.745000000577e-01,  3.753884136677e-01,  3.120929838800e+01,  4.724787771702e-01
  7.845000000671e-01,  3.855507671833e-01,  3.119913603448e+01,  4.890154898167e-01
  7.945000000764e-01,  3.959839642048e-01,  3.118870283746e+01,  5.042017698288e-01
  8.045000000857e-01,  4.064209759235e-01,  3.117826582574e+01,  5.195673704147e-01
  8.145000000950e-01,  4.165604412556e-01,  3.116812636041e+01,  5.350512266159e-01
  8.250000001863e-01,  4.268162548542e-01,  3.115787054681e+01,  5.548723936081e-01
  8.355000000447e-01,  4.368984997272e-01,  3.114778830194e+01,  5.751360654831e-01
  8.460000001360e-01,  4.470646679401e-01,  3.113762213373e+01,  5.928744077682e-01
  8.565000002272e-01,  4.574177563190e-01,  3.112726904535e+01,  6.102389097214e-01
  8.665000000037e-01,  4.674504101276e-01,  3.111723639154e+01,  6.266497373581e-01
  8.765000000130e-01,  4.775555431843e-01,  3.110713125848e+01,  6.412867307663e-01
  8.865000000224e-01,  4.875576794147e-01,  3.109712912225e+01,  6.570986509323e-01
  8.970000001136e-01,  4.978020489216e-01,  3.108688475275e+01,  6.787813901901e-01
  9.075000002049e-01,  5.079796314240e-01,  3.107670717024e+01,  6.987169981003e-01
  9.180000000633e-01,  5.183308124542e-01,  3.106635598921e+01,  7.185648679733e-01
  9.280000000726e-01,  5.283787250519e-01,  3.105630807662e+01,  7.349108457565e-01
  9.380000000820e-01,  5.385067462921e-01,  3.104618005538e+01,  7.510012388229e-01
  9.480000000913e-01,  5.486729145050e-01,  3.103601388716e+01,  7.677782773972e-01
  9.580000001006e-01,  5.588390827179e-01,  3.102584771895e+01,  7.876604795456e-01
  9.680000001099e-01,  5.690128803253e-01,  3.101567392134e+01,  8.069742918015e-01
  9.780000001192e-01,  5.791523456573e-01,  3.100553445601e+01,  8.262652158737e-01
  9.880000001285e-01,  5.892231464386e-01,  3.099546365523e+01,  8.456782102585e-01
  9.980000001378e-01,  5.992863178253e-01,  3.098540048384e+01,  8.647822141647e-01
  1.008000000147e+00,  6.093723773956e-01,  3.097531442427e+01,  8.817270994186e-01
  1.018000000156e+00,  6.194238066673e-01,  3.096526299500e+01,  8.995080590248e-01
  1.028000000166e+00,  6.294679045677e-01,  3.095521889710e+01,  9.201989769936e-01
  1.038000000175e+00,  6.395654082298e-01,  3.094512139344e+01,  9.405313134193e-01
  1.048000000184e+00,  6.496400237083e-01,  3.093504677796e+01,  9.577546715736e-01
  1.058500000043e+00,  6.600732207298e-01,  3.092461358094e+01,  9.779229760170e-01
  1.069000000134e+00,  6.704568266869e-01,  3.091422997498e+01,  9.972139000893e-01
  1.079500000225e+00,  6.808366179466e-01,  3.090385018372e+01,  1.015825867653e+00
  1.090000000084e+00,  6.913079619408e-01,  3.089337883973e+01,  1.034529328346e+00
  1.100000000093e+00,  7.014054656029e-01,  3.088328133606e+01,  1.053309082985e+00
  1.110000000102e+00,  7.115105986595e-01,  3.087317620301e+01,  1.072031617165e+00
  1.120500000194e+00,  7.219895720482e-01,  3.086269722962e+01,  1.091890931129e+00
  1.131000000052e+00,  7.323541045189e-01,  3.085233269715e+01,  1.111662507057e+00
  1.141500000143e+00,  7.426080107689e-01,  3.084207879090e+01,  1.131842255592e+00
  1.152000000002e+00,  7.528924345970e-01,  3.083179436707e+01,  1.152895569801e+00
  1.162500000093e+00,  7.633065581322e-01,  3.082138024354e+01,  1.172335267067e+00
  1.172500000102e+00,  7.733239531517e-01,  3.081136284852e+01,  1.191332459450e+00
  1.182500000112e+00,  7.834176421165e-01,  3.080126915955e+01,  1.210417389870e+00
  1.192500000121e+00,  7.935113310814e-01,  3.079117547059e+01,  1.230105042458e+00
  1.202500000130e+00,  8.035516142845e-01,  3.078113518738e+01,  1.249941468239e+00
  1.213000000222e+00,  8.140229582787e-01,  3.077066384339e+01,  1.271074891090e+00
  1.223500000080e+00,  8.244866728783e-01,  3.076020012879e+01,  1.291319489479e+00
  1.233500000089e+00,  8.344888091087e-01,  3.075019799256e+01,  1.310808777809e+00
  1.243500000099e+00,  8.445634245872e-01,  3.074012337708e+01,  1.330649018288e+00
  1.253500000108e+00,  8.546380400658e-01,  3.073004876160e+01,  1.349924683571e+00
  1.263500000117e+00,  8.646641373634e-01,  3.072002266430e+01,  1.372099399567e+00
  1.273500000127e+00,  8.747387528419e-01,  3.070994804883e+01,  1.392160892487e+00
  1.283500000136e+00,  8.848019242287e-01,  3.069988487744e+01,  1.411795139313e+00
  1.294000000227e+00,  8.952999711037e-01,  3.068938683056e+01,  1.431589603424e+00
  1.304500000086e+00,  9.057026505470e-01,  3.067898415112e+01,  1.451410770416e+00
  1.315000000177e+00,  9.160633683205e-01,  3.066862343335e+01,  1.471563816071e+00
  1.325500000035e+00,  9.264240860939e-01,  3.065826271557e+01,  1.494978427887e+00
  1.335500000045e+00,  9.364910721779e-01,  3.064819572949e+01,  1.515772342682e+00
  1.345500000054e+00,  9.466724991798e-01,  3.063801430249e+01,  1.533823490143e+00
  1.355500000063e+00,  9.567585587502e-01,  3.062792824292e+01,  1.551451206207e+00
  1.366000000155e+00,  9.668751358986e-01,  3.061781166577e+01,  1.567682743073e+00
  1.378000000026e+00,  9.771443009377e-01,  3.060754250073e+01,  1.582705020905e+00
  1.393500000006e+00,  9.873810410500e-01,  3.059730576062e+01,  1.603212833405e+00
  1.421000000089e+00,  9.974699616432e-01,  3.058721684002e+01,  1.625935077667e+00
  1.422000000020e+00,  9.976897835732e-01,  3.058699701809e+01,  1.626408100128e+00
  1.522000000114e+00,  1.003289103508e+00,  3.058139769816e+01,  1.632123351097e+00
  1.622000000207e+00,  1.002778649330e+00,  3.058190815234e+01,  1.625350236893e+00
  1.722000000067e+00,  1.002004861832e+00,  3.058268193984e+01,  1.622109055519e+00
  1.822000000160e+00,  1.001394629478e+00,  3.058329217219e+01,  1.615360617638e+00
  1.922000000020e+00,  1.000904679298e+00,  3.058378212237e+01,  1.610880494118e+00
  2.022000000114e+00,  1.000574231148e+00,  3.058411257052e+01,  1.605279326439e+00
  2.122000000207e+00,  1.000390768051e+00,  3.058429603362e+01,  1.602793097496e+00
  2.222000000067e+00,  1.000219464302e+00,  3.058446733737e+01,  1.598088264465e+00
  2.322000000160e+00,  1.000141263008e+00,  3.058454553866e+01,  1.596159100533e+00
  2.422000000020e+00,  1.000072836876e+00,  3.058461396479e+01,  1.593500018120e+00
  2.522000000114e+00,  1.000039935112e+00,  3.058464686656e+01,  1.591131329536e+00
  2.622000000207e+00,  1.000053882599e+00,  3.058463291907e+01,  1.590743064880e+00
  2.722000000067e+00,  1.000037312508e+00,  3.058464948916e+01,  1.588125467300e+00
  2.822000000160e+00,  1.000024318695e+00,  3.058466248297e+01,  1.584281802177e+00
  2.922000000020e+00,  1.000033140182e+00,  3.058465366148e+01,  1.581365227699e+00
  3.022000000114e+00,  1.000012755394e+00,  3.058467404627e+01,  1.578645110130e+00
  3.122000000207e+00,  1.000002741814e+00,  3.058468405985e+01,  1.577599883080e+00
  3.222000000067e+00,  9.999945759773e-01,  3.058469222569e+01,  1.577247977257e+00
  3.322000000160e+00,  1.000023365021e+00,  3.058466343665e+01,  1.572323799133e+00
  3.422000000020e+00,  1.000010728836e+00,  3.058467607283e+01,  1.574084281921e+00
  3.522000000114e+00,  1.000015497208e+00,  3.058467130446e+01,  1.573325514793e+00
  3.622000000207e+00,  1.000018954277e+00,  3.058466784739e+01,  1.570259809494e+00
  3.722000000067e+00,  9.999999403954e-01,  3.058468686127e+01,  1.568385481834e+00
  3.822000000160e+00,  9.999688267708e-01,  3.058471797490e+01,  1.564885258675e+00
  3.922000000020e+00,  1.000031232834e+00,  3.058465556883e+01,  1.565116882324e+00
  4.022000000114e+00,  1.000030279160e+00,  3.058465652251e+01,  1.563012242317e+00
  4.122000000207e+00,  1.000016689301e+00,  3.058467011237e+01,  1.561053395271e+00
  4.222000000067e+00,  1.000020861626e+00,  3.058466594004e+01,  1.560827016830e+00
  4.322000000160e+00,  1.000019788742e+00,  3.058466701293e+01,  1.558503031731e+00
  4.422000000020e+00,  1.000036716461e+00,  3.058465008521e+01,  1.557102203369e+00
  4.522000000114e+00,  1.000002026558e+00,  3.058468477511e+01,  1.554948568344e+00
  4.622000000207e+00,  9.999940395355e-01,  3.058469276213e+01,  1.553872823715e+00
  4.722000000067e+00,  1.000024199486e+00,  3.058466260218e+01,  1.553102850914e+00
  4.822000000160e+00,  1.000028491020e+00,  3.058465831065e+01,  1.552346944809e+00
  4.922000000020e+00,  1.000028610229e+00,  3.058465819144e+01,  1.551661372185e+00
  5.022000000114e+00,  1.000018715858e+00,  3.058466808581e+01,  1.550001263618e+00
  5.122000000207e+00,  9.999901056290e-01,  3.058469669604e+01,  1.548466801643e+00
  5.222000000067e+00,  1.000030398369e+00,  3.058465640330e+01,  1.547664403915e+00
  5.322000000160e+00,  1.000067114830e+00,  3.058461968684e+01,  1.545464396477e+00
  5.422000000020e+00,  1.000033140182e+00,  3.058465366148e+01,  1.545853137970e+00
  5.522000000114e+00,  1.000011324883e+00,  3.058467547678e+01,  1.544937014580e+00
  5.622000000207e+00,  9.999930858612e-01,  3.058469371581e+01,  1.543806076050e+00
  5.722000000067e+00,  1.000032544136e+00,  3.058465425753e+01,  1.545500636101e+00
  5.822000000160e+00,  1.000020265579e+00,  3.058466653609e+01,  1.544273495674e+00
  5.922000000020e+00,  1.000029683113e+00,  3.058465711855e+01,  1.541880369186e+00
  6.022000000114e+00,  1.000034928322e+00,  3.058465187335e+01,  1.544146537781e+00
  6.122000000207e+00,  1.000017881393e+00,  3.058466892027e+01,  1.542710065842e+00
  6.222000000067e+00,  1.000008940697e+00,  3.058467786097e+01,  1.540546774864e+00
  6.322000000160e+00,  1.000002622604e+00,  3.058468417906e+01,  1.539328575134e+00
  6.422000000020e+00,  1.000002861023e+00,  3.058468394064e+01,  1.540417551994e+00
  6.522000000114e+00,  1.000039219856e+00,  3.058464758181e+01,  1.537817239761e+00
  6.622000000207e+00,  1.000000238419e+00,  3.058468656325e+01,  1.534556388855e+00
