           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  2.056824112178e+01, -6.049415096641e-03
                 0.0,                 0.0,  2.056824437023e+01, -6.028613075614e-03
                 0.0,                 0.0,  2.056825126947e+01, -5.723072215915e-03
                 0.0,                 0.0,  2.056825344504e+01, -5.516393110156e-03
                 0.0,                 0.0,  2.056825630606e+01, -5.584103986621e-03
                 0.0,                 0.0,  2.069630016674e+01, -7.164314854890e-03
  0.000000000000e+00,  0.000000000000e+00,  2.069630535184e+01, -7.067522034049e-03
  8.000000000038e-03, -3.512017428875e-06,  2.069630886386e+01, -7.025791332126e-03
  1.099999999997e-02, -3.508292138577e-06,  2.069630886014e+01, -6.970154121518e-03
  1.299999999992e-02, -1.082289963961e-05,  2.069631617474e+01, -6.780372932553e-03
  1.399999999990e-02, -1.384783536196e-05,  2.069631919968e+01, -6.600128486753e-03
  1.140000000000e-01, -4.684537998401e-05,  2.069635219722e+01, -5.923995748162e-03
  2.139999999999e-01, -1.689799137239e-05,  2.069632224984e+01, -7.704008370638e-03
  3.140000000001e-01, -3.620149072958e-05,  2.069634155334e+01, -7.752764504403e-03
  4.140000000000e-01, -5.470489122672e-05,  2.069636005674e+01, -4.272467922419e-03
  5.139999999999e-01,  4.303711000830e-03,  2.069200164084e+01, -7.419391535223e-03
  5.480000000000e-01,  1.453234534711e-02,  2.068177300650e+01,  4.575760103762e-03
  5.625000000000e-01,  2.483202703297e-02,  2.067147332481e+01,  2.186396718025e-02
  5.715000000000e-01,  3.529574349523e-02,  2.066100960835e+01,  2.988293766975e-02
  5.785000000001e-01,  4.557635262609e-02,  2.065072899922e+01,  2.347806096077e-02
  5.850000000000e-01,  5.604388192296e-02,  2.064026146992e+01,  2.147439122200e-02
  5.909999999999e-01,  6.616045534611e-02,  2.063014489650e+01,  2.143970131874e-02
  5.970000000000e-01,  7.644106447697e-02,  2.061986428737e+01,  2.207773923874e-02
  6.030000000001e-01,  8.665682375431e-02,  2.060964852809e+01,  1.998156309128e-02
  6.095000000000e-01,  9.726549685001e-02,  2.059903985499e+01,  2.367912419140e-02
  6.165000000001e-01,  1.078856140375e-01,  2.058841973781e+01,  1.585160382092e-02
  6.244999999999e-01,  1.182844787836e-01,  2.057802087306e+01,  3.363285958767e-02
  6.330000000000e-01,  1.285002380610e-01,  2.056780511378e+01,  5.005131661892e-02
  6.415000000000e-01,  1.387198120356e-01,  2.055758553981e+01,  5.875073373318e-02
  6.500000000001e-01,  1.491949707270e-01,  2.054711038112e+01,  6.975995004177e-02
  6.579999999999e-01,  1.596129089594e-01,  2.053669244289e+01,  8.199368417263e-02
  6.655000000001e-01,  1.701681762934e-01,  2.052613717555e+01,  8.476583659649e-02
  6.724999999999e-01,  1.803076416254e-01,  2.051599771022e+01,  8.149521052837e-02
  6.800000000001e-01,  1.907904297113e-01,  2.050551492213e+01,  8.412282168865e-02
  6.880000000001e-01,  2.011625915766e-01,  2.049514276027e+01,  8.900181949139e-02
  6.970000000001e-01,  2.117102295160e-01,  2.048459512233e+01,  9.628979861736e-02
  7.070000000001e-01,  2.219069153070e-01,  2.047439843654e+01,  9.880433976650e-02
  7.190000000001e-01,  2.319414764643e-01,  2.046436387538e+01,  1.251600831747e-01
  7.304999999999e-01,  2.421972900629e-01,  2.045410806178e+01,  1.389425843954e-01
  7.405000000001e-01,  2.523806393147e-01,  2.044392471253e+01,  1.442679017782e-01
  7.500000000000e-01,  2.625946700573e-01,  2.043371068179e+01,  1.484683007002e-01
  7.595000000001e-01,  2.727837264538e-01,  2.042352162539e+01,  1.540482491255e-01
  7.695000000001e-01,  2.829594314098e-01,  2.041334592044e+01,  1.588929146528e-01
  7.805000000001e-01,  2.930588424206e-01,  2.040324650942e+01,  1.756966561079e-01
  7.915000000000e-01,  3.031334578991e-01,  2.039317189395e+01,  1.902726143599e-01
  8.019999999999e-01,  3.134407699108e-01,  2.038286458193e+01,  2.004559487104e-01
  8.119999999999e-01,  3.238854110241e-01,  2.037241994082e+01,  2.077477425337e-01
