           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  2.272816655996e+01, -5.791812145617e-05
                 0.0,                 0.0,  2.272816854181e+01,  5.580754077528e-05
                 0.0,                 0.0,  2.272817117932e+01,  7.043358637020e-04
                 0.0,                 0.0,  2.272818861368e+01,  1.104402239434e-03
                 0.0,                 0.0,  2.272819140019e+01,  1.272725756280e-03
                 0.0,                 0.0,  2.288908055608e+01,  3.943320363760e-03
  0.000000000000e+00,  0.000000000000e+00,  2.288907996779e+01,  3.992576152086e-03
  8.000001311302e-03,  3.652647137642e-06,  2.288907631515e+01,  3.544587409124e-03
  1.099999248981e-02,  9.985640645027e-06,  2.288906998215e+01,  3.310937201604e-03
  1.299999654293e-02,  5.945563316345e-06,  2.288907402223e+01,  3.454405581579e-03
  1.399999856949e-02,  6.128102540970e-06,  2.288907383969e+01,  3.568846499547e-03
  1.145000010729e-01,  6.343230052153e-05,  2.288901653549e+01,  4.946363158524e-03
  2.149999886751e-01,  4.199616887490e-05,  2.288903797162e+01,  2.813507802784e-03
  3.149999976158e-01,  6.827846664237e-05,  2.288901168933e+01,  3.861740231514e-03
  4.155000001192e-01,  3.956520464271e-03,  2.288512344733e+01,  1.835548318923e-02
  4.264999926090e-01,  1.429244223982e-02,  2.287478752555e+01,  1.089621707797e-01
  4.314999878407e-01,  2.546569146216e-02,  2.286361427633e+01,  1.363364458084e-01
  4.349999874830e-01,  3.629942983389e-02,  2.285278053796e+01,  1.636801958084e-01
  4.379999935627e-01,  4.785796254873e-02,  2.284122200524e+01,  1.929465532303e-01
  4.404999911785e-01,  5.928679555655e-02,  2.282979317224e+01,  2.105857133865e-01
  4.424999952316e-01,  6.958647817373e-02,  2.281949348962e+01,  2.221518754959e-01
  4.444999992847e-01,  8.092375844717e-02,  2.280815620935e+01,  2.330008745193e-01
  4.464999884367e-01,  9.326811879873e-02,  2.279581184899e+01,  2.442618608475e-01
  4.484999924898e-01,  1.066043004394e-01,  2.278247566735e+01,  2.554160356522e-01
  4.499999880791e-01,  1.172244176269e-01,  2.277185555017e+01,  2.641898393631e-01
  4.514999985695e-01,  1.283938586712e-01,  2.276068610912e+01,  2.737876176834e-01
  4.529999941587e-01,  1.400515735149e-01,  2.274902839428e+01,  2.839499711990e-01
  4.544999897480e-01,  1.522280871868e-01,  2.273685188061e+01,  2.947684526443e-01
  4.560000002384e-01,  1.648928821087e-01,  2.272418708568e+01,  3.062888383865e-01
  4.574999958277e-01,  1.780154407024e-01,  2.271106452709e+01,  3.185569047928e-01
  4.589999914169e-01,  1.915957629681e-01,  2.269748420482e+01,  3.320761919022e-01
  4.604999870062e-01,  2.056033313274e-01,  2.268347663647e+01,  3.468466997147e-01
  4.619999974966e-01,  2.200686633587e-01,  2.266901130443e+01,  3.620749711990e-01
  4.634999930859e-01,  2.349307239056e-01,  2.265414924389e+01,  3.763571977615e-01
  4.644999951124e-01,  2.450930774212e-01,  2.264398689037e+01,  3.846579790115e-01
  4.654999971390e-01,  2.554080188274e-01,  2.263367194897e+01,  3.921042680740e-01
  4.664999991655e-01,  2.659060657024e-01,  2.262317390209e+01,  3.990927934647e-01
  4.675000011921e-01,  2.765261828899e-01,  2.261255378490e+01,  4.059287309647e-01
  4.684999883175e-01,  2.872988879681e-01,  2.260178107982e+01,  4.124747514725e-01
  4.694999903440e-01,  2.981936633587e-01,  2.259088630443e+01,  4.184714555740e-01
  4.704999923706e-01,  3.092105090618e-01,  2.257986945873e+01,  4.239493608475e-01
  4.714999943972e-01,  3.203189074993e-01,  2.256876106029e+01,  4.291678667068e-01
  4.724999964237e-01,  3.314883410931e-01,  2.255759162670e+01,  4.342490434647e-01
  4.734999984503e-01,  3.427493274212e-01,  2.254633064037e+01,  4.393149614334e-01
  4.745000004768e-01,  3.540408313274e-01,  2.253503913647e+01,  4.447928667068e-01
  4.754999876022e-01,  3.653628528118e-01,  2.252371711498e+01,  4.513846635818e-01
  4.764999896288e-01,  3.767153918743e-01,  2.251236457592e+01,  4.596091508865e-01
  4.774999916553e-01,  3.880679309368e-01,  2.250101203686e+01,  4.695273637772e-01
  4.784999936819e-01,  3.994204699993e-01,  2.248965949779e+01,  4.810630083084e-01
  4.794999957085e-01,  4.108035266399e-01,  2.247827644115e+01,  4.939414262772e-01
  4.804999977350e-01,  4.221560657024e-01,  2.246692390209e+01,  5.074912309647e-01
  4.814999997616e-01,  4.335391223431e-01,  2.245554084545e+01,  5.207358598709e-01
  4.824999868870e-01,  4.449221789837e-01,  2.244415778881e+01,  5.331565141678e-01
