           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  1.489377570735e+01, -7.297072559595e-03
                 0.0,                 0.0,  1.489377010451e+01, -7.310364395380e-03
                 0.0,                 0.0,  1.489374793159e+01, -7.962886244059e-03
                 0.0,                 0.0,  1.489375496121e+01, -7.569301873446e-03
                 0.0,                 0.0,  1.489375392185e+01, -7.643926888704e-03
                 0.0,                 0.0,  1.492769429510e+01, -4.957759752870e-03
  0.000000000000e+00,  0.000000000000e+00,  1.492769480710e+01, -5.328500643373e-03
  8.000001311302e-03,  8.468516170979e-06,  1.492768633859e+01, -6.289625540376e-03
  1.100000739098e-02,  1.258682459593e-05,  1.492768222028e+01, -6.521129980683e-03
  1.299999654293e-02,  1.728278584778e-05,  1.492767752432e+01, -6.825352087617e-03
  1.399999856949e-02,  1.651537604630e-05,  1.492767829173e+01, -6.945038214326e-03
  1.140000075102e-01, -9.077354661713e-06,  1.492770388446e+01, -8.650515228510e-03
  2.144999951124e-01,  2.533318183850e-05,  1.492766947392e+01, -5.355651490390e-03
  3.145000040531e-01,  5.424778646557e-05,  1.492764055932e+01, -6.648222915828e-03
  4.150000065565e-01,  1.229815188708e-05,  1.492768250895e+01, -5.258251447231e-03
  5.154999941587e-01,  1.006832253188e-02,  1.491762648457e+01, -5.261816550046e-03
  5.374999940395e-01,  2.039756998420e-02,  1.490729723712e+01,  1.053675170988e-02
  5.489999949932e-01,  3.054085001349e-02,  1.489715395709e+01,  2.544888108969e-02
  5.569999963045e-01,  4.072990640998e-02,  1.488696490069e+01,  2.121528238058e-02
  5.639999955893e-01,  5.132713541389e-02,  1.487636767169e+01,  1.534446235746e-02
  5.705000013113e-01,  6.195106729865e-02,  1.486574373980e+01,  1.149924751371e-02
  5.764999985695e-01,  7.209239900112e-02,  1.485560240810e+01,  1.196563523263e-02
  5.824999958277e-01,  8.241496980190e-02,  1.484527983730e+01,  1.070970576257e-02
  5.885000079870e-01,  9.263072907925e-02,  1.483506407802e+01,  1.004386227578e-02
  5.949999988079e-01,  1.034148782492e-01,  1.482427992885e+01,  8.832934312522e-03
  6.019999980927e-01,  1.141418069601e-01,  1.481355300014e+01,  5.045655649155e-03
  6.095000058413e-01,  1.243423074484e-01,  1.480335249965e+01,  1.800418272614e-02
  6.175000071526e-01,  1.346076577902e-01,  1.479308714931e+01,  2.965999022126e-02
  6.255000084639e-01,  1.448196023703e-01,  1.478287520473e+01,  3.443694487214e-02
  6.334999948740e-01,  1.551612466574e-01,  1.477253356045e+01,  4.649711027741e-02
  6.410000026226e-01,  1.654990762472e-01,  1.476219573086e+01,  5.015361681581e-02
  6.480000019073e-01,  1.755431741476e-01,  1.475215163296e+01,  4.465473070741e-02
  6.554999947548e-01,  1.860068887472e-01,  1.474168791836e+01,  4.335880652070e-02
  6.634999960661e-01,  1.964439004660e-01,  1.473125090664e+01,  4.599714651704e-02
  6.720000058413e-01,  2.064994424582e-01,  1.472119536464e+01,  4.992819204926e-02
