           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  2.329326232977e+01, -1.016917917877e-02
                 0.0,                 0.0,  2.329326398380e+01, -1.027742121369e-02
                 0.0,                 0.0,  2.329326037772e+01, -1.099719200283e-02
                 0.0,                 0.0,  2.329326957174e+01, -1.112500485033e-02
                 0.0,                 0.0,  2.329326912470e+01, -1.122013386339e-02
                 0.0,                 0.0,  2.348142544008e+01, -1.348845846951e-02
  0.000000000000e+00,  0.000000000000e+00,  2.348142178065e+01, -1.324860937893e-02
  8.000001311302e-03, -7.972121238708e-06,  2.348142975277e+01, -1.307797245681e-02
  1.099999248981e-02, -4.652887582779e-06,  2.348142643354e+01, -1.291870884597e-02
  1.299999654293e-02,  1.564621925354e-06,  2.348142021603e+01, -1.284837536514e-02
  1.399999856949e-02, -1.966953277588e-06,  2.348142374760e+01, -1.283520273864e-02
  1.145000010729e-01, -3.865318285534e-05,  2.348146043383e+01, -1.165085658431e-02
  2.149999886751e-01, -3.813128387264e-06,  2.348142559378e+01, -1.087038405240e-02
  3.149999976158e-01,  2.098212280544e-05,  2.348140079853e+01, -9.820817038417e-03
  4.155000001192e-01, -2.154673165933e-05,  2.348144332738e+01, -1.045936439186e-02
  5.049999952316e-01,  1.031510531902e-02,  2.347110667533e+01,  1.468045171350e-02
  5.150000005960e-01,  2.103631198406e-02,  2.346038546867e+01,  5.258328467607e-02
  5.209999978542e-01,  3.195016086102e-02,  2.344947161979e+01,  5.381948500872e-02
  5.254999995232e-01,  4.214303195477e-02,  2.343927874869e+01,  5.141896754503e-02
  5.294999927282e-01,  5.237405002117e-02,  2.342904773063e+01,  5.547637492418e-02
  5.335000008345e-01,  6.366555392742e-02,  2.341775622672e+01,  6.551665812731e-02
  5.370000004768e-01,  7.441537082195e-02,  2.340700640983e+01,  8.069915324450e-02
  5.405000001192e-01,  8.610360324383e-02,  2.339531817741e+01,  1.022750809789e-01
  5.434999912977e-01,  9.704415500164e-02,  2.338437762565e+01,  1.182968094945e-01
  5.464999973774e-01,  1.089154928923e-01,  2.337250628776e+01,  1.233665421605e-01
  5.489999949932e-01,  1.194135397673e-01,  2.336200824088e+01,  1.227328255773e-01
  5.514999926090e-01,  1.303235739470e-01,  2.335109820670e+01,  1.214739754796e-01
  5.539999902248e-01,  1.415235251188e-01,  2.333989825553e+01,  1.186949685216e-01
  5.564999878407e-01,  1.528455466032e-01,  2.332857623405e+01,  1.141554787755e-01
  5.590000003576e-01,  1.641523092985e-01,  2.331726947135e+01,  1.104132607579e-01
  5.614999979734e-01,  1.752759665251e-01,  2.330614581412e+01,  1.066519692540e-01
  5.639999955893e-01,  1.860639303923e-01,  2.329535785026e+01,  1.058399155736e-01
  5.664999932051e-01,  1.964093893766e-01,  2.328501239127e+01,  1.135913804173e-01
  5.694999992847e-01,  2.082883566618e-01,  2.327313342399e+01,  1.329700350761e-01
  5.724999904633e-01,  2.196637839079e-01,  2.326175799674e+01,  1.560108065605e-01
  5.754999965429e-01,  2.307111471891e-01,  2.325071063346e+01,  1.798755526543e-01
  5.784999877214e-01,  2.415525168180e-01,  2.323986926383e+01,  2.021991610527e-01
  5.814999938011e-01,  2.522870600224e-01,  2.322913472063e+01,  2.228443026543e-01
  5.844999998808e-01,  2.629911005497e-01,  2.321843068010e+01,  2.407428622246e-01
  5.874999910593e-01,  2.736951410770e-01,  2.320772663957e+01,  2.524310946465e-01
  5.904999971390e-01,  2.843534052372e-01,  2.319706837541e+01,  2.577525973320e-01
  5.934999883175e-01,  2.947904169559e-01,  2.318663136369e+01,  2.619258761406e-01
  5.964999943972e-01,  3.048612177372e-01,  2.317656056291e+01,  2.731487154961e-01
  5.999999940395e-01,  3.161679804325e-01,  2.316525380022e+01,  2.929393649101e-01
  6.034999936819e-01,  3.271085321903e-01,  2.315431324846e+01,  3.167278170586e-01
  6.069999933243e-01,  3.378430902958e-01,  2.314357869035e+01,  3.409740328789e-01
  6.104999929667e-01,  3.485166132450e-01,  2.313290516740e+01,  3.654796481133e-01
  6.139999926090e-01,  3.593045771122e-01,  2.312211720354e+01,  3.871166110039e-01
  6.174999922514e-01,  3.702909052372e-01,  2.311113087541e+01,  4.048931002617e-01
  6.210000067949e-01,  3.814740777016e-01,  2.309994770295e+01,  4.197908341885e-01
  6.244999915361e-01,  3.928037285805e-01,  2.308861805207e+01,  4.339738786221e-01
  6.279999911785e-01,  4.042249321938e-01,  2.307719684846e+01,  4.455324113369e-01
  6.314999908209e-01,  4.156308770180e-01,  2.306579090363e+01,  4.550004899502e-01
  6.349999904633e-01,  4.269147515297e-01,  2.305450702912e+01,  4.647813737392e-01
  6.384999901056e-01,  4.379392266273e-01,  2.304348255402e+01,  4.778047502041e-01
  6.419999897480e-01,  4.486661553383e-01,  2.303275562531e+01,  4.951997697353e-01
  6.454999893904e-01,  4.591260552406e-01,  2.302229572541e+01,  5.148226022720e-01
  6.489999890327e-01,  4.694104790688e-01,  2.301201130158e+01,  5.355440378189e-01
  6.524999886751e-01,  4.795957207680e-01,  2.300182605988e+01,  5.552583932877e-01
  6.559999883175e-01,  4.897580742836e-01,  2.299166370637e+01,  5.749574899673e-01
  6.594999879599e-01,  4.999738335609e-01,  2.298144794709e+01,  5.937105417252e-01
  6.630000025034e-01,  5.102506279945e-01,  2.297117115266e+01,  6.109071969986e-01
  6.665000021458e-01,  5.205960869789e-01,  2.296082569367e+01,  6.261965036392e-01
  6.700000017881e-01,  5.310102105141e-01,  2.295041157014e+01,  6.417604684830e-01
  6.735000014305e-01,  5.414777398109e-01,  2.293994404084e+01,  6.569887399673e-01
  6.770000010729e-01,  5.519681572914e-01,  2.292945362336e+01,  6.727815866470e-01
  6.805000007153e-01,  5.624585747719e-01,  2.291896320588e+01,  6.893068552017e-01
  6.840000003576e-01,  5.729337334633e-01,  2.290848804719e+01,  7.047792673111e-01
  6.875000000000e-01,  5.833783745766e-01,  2.289804340607e+01,  7.202059030533e-01
  6.909999996424e-01,  5.937696099281e-01,  2.288765217072e+01,  7.354799509048e-01
  6.944999992847e-01,  6.041226983070e-01,  2.287729908234e+01,  7.527529001236e-01
  6.979999989271e-01,  6.144376397133e-01,  2.286698414094e+01,  7.700563669205e-01
  7.014999985695e-01,  6.247373223305e-01,  2.285668445832e+01,  7.865968942642e-01
  7.049999982119e-01,  6.350217461586e-01,  2.284640003449e+01,  8.030306100845e-01
  7.084999978542e-01,  6.453061699867e-01,  2.283611561066e+01,  8.193880319595e-01
  7.119999974966e-01,  6.555982232094e-01,  2.282582355744e+01,  8.359133005142e-01
  7.154999971390e-01,  6.659131646156e-01,  2.281550861603e+01,  8.530489206314e-01
  7.189999967813e-01,  6.762509942055e-01,  2.280517078644e+01,  8.696962594986e-01
  7.224999964237e-01,  6.865659356117e-01,  2.279485584504e+01,  8.859468698502e-01
  7.259999960661e-01,  6.968656182289e-01,  2.278455616242e+01,  9.031893014908e-01
  7.294999957085e-01,  7.071500420570e-01,  2.277427173859e+01,  9.207521677017e-01
  7.329999953508e-01,  7.174344658852e-01,  2.276398731476e+01,  9.385133981705e-01
  7.364999949932e-01,  7.277494072914e-01,  2.275367237336e+01,  9.565645456314e-01
  7.399999946356e-01,  7.381024956703e-01,  2.274331928498e+01,  9.740511178970e-01
  7.434999942780e-01,  7.484937310219e-01,  2.273292804963e+01,  9.912477731705e-01
  7.469999939203e-01,  7.589078545570e-01,  2.272251392609e+01,  1.007483124733e+00
  7.504999935627e-01,  7.693524956703e-01,  2.271206928498e+01,  1.024862885475e+00
  7.539999932051e-01,  7.798352837563e-01,  2.270158649689e+01,  1.042196869850e+00
  7.574999928474e-01,  7.903333306313e-01,  2.269108845002e+01,  1.058951020241e+00
  7.609999924898e-01,  8.008390069008e-01,  2.268058277375e+01,  1.076101899147e+00
  7.644999921322e-01,  8.113217949867e-01,  2.267009998566e+01,  1.092932343483e+00
  7.679999917746e-01,  8.218198418617e-01,  2.265960193879e+01,  1.110357880592e+00
  7.714999914169e-01,  8.323255181313e-01,  2.264909626252e+01,  1.129141449928e+00
  7.749999910593e-01,  8.428693413734e-01,  2.263855243928e+01,  1.147375702858e+00
  7.784999907017e-01,  8.534589409828e-01,  2.262796283967e+01,  1.164847016335e+00
  7.819999903440e-01,  8.640637993813e-01,  2.261735798127e+01,  1.182333588600e+00
  7.854999899864e-01,  8.746686577797e-01,  2.260675312287e+01,  1.199835419655e+00
  7.889999896288e-01,  8.852811455727e-01,  2.259614063508e+01,  1.217703461647e+00
  7.924999892712e-01,  8.958783745766e-01,  2.258554340607e+01,  1.235479950905e+00
  7.959999889135e-01,  9.064756035805e-01,  2.257494617707e+01,  1.254202485085e+00
  7.994999885559e-01,  9.170652031898e-01,  2.256435657746e+01,  1.271994233131e+00
  8.029999881983e-01,  9.276395440102e-01,  2.255378223664e+01,  1.289541840553e+00
  8.064999878407e-01,  9.382138848305e-01,  2.254320789582e+01,  1.308249115944e+00
  8.100000023842e-01,  9.487805962563e-01,  2.253264118439e+01,  1.326605439186e+00
  8.135000020266e-01,  9.593396782875e-01,  2.252208210236e+01,  1.344580292702e+00
  8.170000016689e-01,  9.699063897133e-01,  2.251151539094e+01,  1.362555146217e+00
  8.205000013113e-01,  9.804578423500e-01,  2.250096393830e+01,  1.380179047585e+00
  8.240000009537e-01,  9.909940361977e-01,  2.249042774445e+01,  1.397406220436e+00
  8.275000005960e-01,  1.001492023468e+00,  2.247992975718e+01,  1.415121674538e+00
  8.310000002384e-01,  1.011959552765e+00,  2.246946222788e+01,  1.433325409889e+00
  8.344999998808e-01,  1.022419452667e+00,  2.245900232798e+01,  1.452582001686e+00
  8.379999995232e-01,  1.032871723175e+00,  2.244855005747e+01,  1.471380829811e+00
  8.414999991655e-01,  1.043323993683e+00,  2.243809778697e+01,  1.489843964577e+00
  8.449999988079e-01,  1.053776264191e+00,  2.242764551646e+01,  1.507757782936e+00
  8.484999984503e-01,  1.064236164093e+00,  2.241718561656e+01,  1.527166962624e+00
  8.519999980927e-01,  1.074696063995e+00,  2.240672571665e+01,  1.545920014381e+00
  8.554999977350e-01,  1.085148334503e+00,  2.239627344615e+01,  1.563833832741e+00
  8.589999973774e-01,  1.095592975616e+00,  2.238582880503e+01,  1.582342743874e+00
  8.624999970198e-01,  1.106052875519e+00,  2.237536890513e+01,  1.601385712624e+00
  8.659999966621e-01,  1.116512775421e+00,  2.236490900523e+01,  1.620398163795e+00
  8.694999963045e-01,  1.126980304718e+00,  2.235444147593e+01,  1.638846039772e+00
  8.729999959469e-01,  1.137457966805e+00,  2.234396381385e+01,  1.658519625664e+00
  8.764999955893e-01,  1.147963643074e+00,  2.233345813758e+01,  1.677562594414e+00
  8.799999952316e-01,  1.158499836922e+00,  2.232292194373e+01,  1.696636080742e+00
  8.834999948740e-01,  1.169066548347e+00,  2.231235523230e+01,  1.714778780937e+00
  8.869999945164e-01,  1.179633259773e+00,  2.230178852088e+01,  1.732784152031e+00
  8.904999941587e-01,  1.190184712410e+00,  2.229123706824e+01,  1.750697970390e+00
  8.939999938011e-01,  1.200751423836e+00,  2.228067035681e+01,  1.769771456718e+00
  8.974999934435e-01,  1.211310505867e+00,  2.227011127478e+01,  1.788524508476e+00
  9.009999930859e-01,  1.221884846687e+00,  2.225953693396e+01,  1.807338595390e+00
  9.044999927282e-01,  1.232466816902e+00,  2.224895496375e+01,  1.826732516289e+00
  9.079999923706e-01,  1.243064045906e+00,  2.223835773474e+01,  1.845821261406e+00
  9.114999920130e-01,  1.253676533699e+00,  2.222774524695e+01,  1.864879488945e+00
  9.149999916553e-01,  1.264296650887e+00,  2.221712512976e+01,  1.883830904961e+00
  9.184999912977e-01,  1.274924397469e+00,  2.220649738318e+01,  1.903392672539e+00
  9.219999909401e-01,  1.285559773445e+00,  2.219586200720e+01,  1.921687960625e+00
  9.254999905825e-01,  1.296202778816e+00,  2.218521900183e+01,  1.939815402031e+00
  9.289999902248e-01,  1.306822896004e+00,  2.217459888465e+01,  1.958736300468e+00
  9.324999898672e-01,  1.317412495613e+00,  2.216400928504e+01,  1.977931857109e+00
