           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  2.083384130043e+01, -2.018218487501e-02
                 0.0,                 0.0,  2.083383815815e+01, -2.028542011976e-02
                 0.0,                 0.0,  2.083383855583e+01, -1.986537501216e-02
                 0.0,                 0.0,  2.083383875792e+01, -2.031381055713e-02
                 0.0,                 0.0,  2.083383974140e+01, -2.042419835925e-02
                 0.0,                 0.0,  2.084291229439e+01, -2.125849947333e-02
  0.000000000000e+00,  0.000000000000e+00,  2.084291126284e+01, -2.158811315894e-02
  8.000001311302e-03, -1.087132841349e-05,  2.084292213417e+01, -2.121346816421e-02
  1.100000739098e-02, -1.713726669550e-05,  2.084292840011e+01, -2.106719836593e-02
  1.300001144409e-02, -1.376960426569e-05,  2.084292503245e+01, -2.082496508956e-02
  1.400001347065e-02, -1.465063542128e-05,  2.084292591348e+01, -2.069860324264e-02
  1.145000010729e-01, -2.079387195408e-05,  2.084293205671e+01, -1.991474255919e-02
  2.145000100136e-01, -3.414337697905e-05,  2.084294540622e+01, -2.030652947724e-02
  3.150000125170e-01, -1.554218033561e-05,  2.084292680502e+01, -2.028179727495e-02
  4.155000001192e-01, -4.474649540498e-05,  2.084295600934e+01, -1.867030374706e-02
  5.155000090599e-01,  2.005028654821e-04,  2.084271075998e+01, -1.798039115965e-02
  5.844999998808e-01,  1.023500412703e-02,  2.083267625871e+01, -1.204948779196e-02
  6.035000085831e-01,  2.024095505476e-02,  2.082267030779e+01, -1.187911839224e-03
  6.140000075102e-01,  3.051393479109e-02,  2.081239732805e+01,  8.809574879706e-03
  6.215000003576e-01,  4.055040329695e-02,  2.080236085954e+01,  7.395832217298e-04
  6.284999996424e-01,  5.114763230085e-02,  2.079176363054e+01, -3.020754549652e-03
  6.350000053644e-01,  6.163423508406e-02,  2.078127702776e+01, -4.761806223541e-03
  6.415000110865e-01,  7.239168137312e-02,  2.077051958147e+01, -2.720466349274e-03
  6.480000019073e-01,  8.318435400724e-02,  2.075972690883e+01, -3.463303204626e-03
  6.545000076294e-01,  9.357177466154e-02,  2.074933948818e+01,  6.556161097251e-04
  6.615000069141e-01,  1.040087863803e-01,  2.073890247646e+01, -2.077763434500e-03
  6.695000082254e-01,  1.144457980990e-01,  2.072846546474e+01,  1.682787574828e-02
