           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  2.154242791896e+01, -6.296568317339e-04
                 0.0,                 0.0,  2.154242815738e+01, -5.955629749224e-04
                 0.0,                 0.0,  2.154243393903e+01,  2.433127810946e-04
                 0.0,                 0.0,  2.154243355160e+01,  9.070253145183e-05
                 0.0,                 0.0,  2.154243647223e+01,  2.632951691339e-05
                 0.0,                 0.0,  2.180091923171e+01, -2.169524552301e-03
  0.000000000000e+00,  0.000000000000e+00,  2.180091344478e+01, -2.188255311921e-03
  8.000001311302e-03, -1.015095040202e-05,  2.180092359573e+01, -2.556507708505e-03
  1.100000739098e-02, -1.719547435641e-05,  2.180093064025e+01, -2.854292513803e-03
  1.300001144409e-02, -2.510054036975e-05,  2.180093854532e+01, -2.880473854020e-03
  1.400001347065e-02, -2.319319173694e-05,  2.180093663797e+01, -2.865095855668e-03
  1.145000010729e-01,  2.082803621306e-05,  2.180089261674e+01, -2.108950167894e-03
  2.145000100136e-01, -1.437990067643e-05,  2.180092782468e+01, -1.978296786547e-03
  3.150000125170e-01, -2.387075073784e-05,  2.180093731553e+01,  8.316409366671e-05
  4.155000001192e-01, -5.923016487941e-06,  2.180091936780e+01, -1.118519459851e-03
  5.090000033379e-01,  1.005009282380e-02,  2.179086335196e+01,  7.403350900859e-03
  5.270000100136e-01,  2.007893286645e-02,  2.178083451191e+01,  2.288911491632e-02
  5.375000089407e-01,  3.050888329744e-02,  2.177040456148e+01,  3.986622765660e-02
  5.450000017881e-01,  4.066742211580e-02,  2.176024602266e+01,  3.935410454869e-02
  5.515000075102e-01,  5.073059350252e-02,  2.175018285128e+01,  4.060246422887e-02
  5.575000047684e-01,  6.074798852205e-02,  2.174016545626e+01,  4.390980675817e-02
  5.635000020266e-01,  7.126892358065e-02,  2.172964452120e+01,  5.405690148473e-02
  5.690000057220e-01,  8.143509179354e-02,  2.171947835299e+01,  5.759777501225e-02
  5.745000094175e-01,  9.181488305330e-02,  2.170909856173e+01,  6.081571057439e-02
  5.800000131130e-01,  1.022175624967e-01,  2.169869588228e+01,  6.595410406590e-02
  5.855000019073e-01,  1.123493984342e-01,  2.168856404635e+01,  6.123794987798e-02
  5.915000140667e-01,  1.225804165006e-01,  2.167833302828e+01,  6.943573057652e-02
  5.980000048876e-01,  1.327999979258e-01,  2.166811344685e+01,  8.148635923862e-02
  6.050000041723e-01,  1.430577188730e-01,  2.165785572591e+01,  9.084381163120e-02
  6.125000119209e-01,  1.532086282969e-01,  2.164770481648e+01,  9.456290304661e-02
  6.215000003576e-01,  1.636876016855e-01,  2.163722584309e+01,  1.045233160257e-01
  6.320000141859e-01,  1.740063577890e-01,  2.162690708699e+01,  1.235624700785e-01
  6.430000066757e-01,  1.842278391123e-01,  2.161668560567e+01,  1.406389623880e-01
  6.535000056028e-01,  1.944722086191e-01,  2.160644123616e+01,  1.510073095560e-01
  6.635000109673e-01,  2.046955972910e-01,  2.159621784749e+01,  1.597448736429e-01
  6.735000014305e-01,  2.151822000742e-01,  2.158573124471e+01,  1.670576483011e-01
  6.835000067949e-01,  2.255772501230e-01,  2.157533619466e+01,  1.723104864359e-01
  6.940000057220e-01,  2.358960062265e-01,  2.156501743855e+01,  1.847807317972e-01
  7.045000046492e-01,  2.460335642099e-01,  2.155487988057e+01,  1.970774084330e-01
  7.150000035763e-01,  2.563236951828e-01,  2.154458974960e+01,  2.084242254496e-01
  7.250000089407e-01,  2.664250135422e-01,  2.153448843124e+01,  2.176252752542e-01
  7.350000143051e-01,  2.766865491867e-01,  2.152422689559e+01,  2.260519415140e-01
  7.450000047684e-01,  2.868489027023e-01,  2.151406454208e+01,  2.352053076029e-01
  7.555000036955e-01,  2.972897291183e-01,  2.150362371566e+01,  2.463289648294e-01
  7.660000026226e-01,  3.076199293137e-01,  2.149329351547e+01,  2.576433718204e-01
  7.765000015497e-01,  3.179177045822e-01,  2.148299574020e+01,  2.678820192814e-01
  7.870000004768e-01,  3.282897472382e-01,  2.147262369754e+01,  2.787832617760e-01
  7.970000058413e-01,  3.383071422577e-01,  2.146260630252e+01,  2.870516180992e-01
  8.075000047684e-01,  3.487250804901e-01,  2.145218836429e+01,  2.973093390465e-01
  8.180000036955e-01,  3.589580059052e-01,  2.144195543888e+01,  3.083299994469e-01
  8.285000026226e-01,  3.690707683563e-01,  2.143184267642e+01,  3.195738196373e-01
  8.390000015497e-01,  3.792045116425e-01,  2.142170893314e+01,  3.308996558189e-01
  8.495000004768e-01,  3.895232677460e-01,  2.141139017703e+01,  3.420175909996e-01
  8.595000058413e-01,  3.996360301971e-01,  2.140127741458e+01,  3.512968420982e-01
  8.695000112057e-01,  4.098632335663e-01,  2.139105021121e+01,  3.609957098961e-01
  8.795000016689e-01,  4.200637340546e-01,  2.138084971073e+01,  3.711561560631e-01
  8.895000070333e-01,  4.300925731659e-01,  2.137082087161e+01,  3.821768164635e-01
  9.000000059605e-01,  4.404418468475e-01,  2.136047159793e+01,  3.942694067955e-01
  9.105000048876e-01,  4.507224559784e-01,  2.135019098880e+01,  4.057192206383e-01
  9.210000038147e-01,  4.610908031464e-01,  2.133982264163e+01,  4.166445136070e-01
  9.315000027418e-01,  4.715430736542e-01,  2.132937037113e+01,  4.262537360191e-01
  9.420000016689e-01,  4.820029735565e-01,  2.131891047122e+01,  4.367727637291e-01
  9.525000005960e-01,  4.924209117889e-01,  2.130849253299e+01,  4.482988715172e-01
  9.630000144243e-01,  5.028388500214e-01,  2.129807459476e+01,  4.607653021812e-01
  9.735000133514e-01,  5.133292675018e-01,  2.128758417728e+01,  4.726175665855e-01
  9.835000038147e-01,  5.234191417694e-01,  2.127749430301e+01,  4.845613837242e-01
