           Test time,     Standard travel,     Tool separation,      Standard force
                 0.0,                 0.0,  4.498181423606e+01, -1.162921216746e-05
                 0.0,                 0.0,  4.498181248145e+01, -9.340678661829e-05
                 0.0,                 0.0,  4.498179764642e+01, -1.372522441670e-03
                 0.0,                 0.0,  4.498180427184e+01, -1.604205695912e-03
                 0.0,                 0.0,  4.498180724463e+01, -1.655584899709e-03
                 0.0,                 0.0,  4.498178276530e+01, -1.542331185192e-03
  0.000000000000e+00,  0.000000000000e+00,  4.498178830108e+01, -9.963526390493e-04
  8.000001311302e-03, -1.491862349212e-06,  4.498178979294e+01,  2.640471211635e-04
  1.099999248981e-02, -4.159170202911e-06,  4.498179246025e+01,  5.918726674281e-04
  1.299999654293e-02,  2.397340722382e-06,  4.498178590374e+01,  7.301554433070e-04
  1.399999856949e-02,  2.060201950371e-06,  4.498178624088e+01,  7.847532979213e-04
  1.145000010729e-01,  1.911040453706e-05,  4.498176919067e+01,  1.263539772481e-03
  2.149999886751e-01,  1.970896846615e-06,  4.498178633018e+01,  1.234022434801e-03
  3.149999976158e-01,  1.400437395205e-05,  4.498177429670e+01,  1.639830181375e-03
  4.059999883175e-01,  1.007496193051e-02,  4.497171333915e+01,  3.704499453306e-02
  4.139999896288e-01,  2.012478187680e-02,  4.496166351920e+01,  8.436249941587e-02
  4.189999997616e-01,  3.096615150571e-02,  4.495082214957e+01,  8.653878420591e-02
  4.229999929667e-01,  4.211269691586e-02,  4.493967560416e+01,  8.257912844419e-02
  4.264999926090e-01,  5.357967689633e-02,  4.492820862418e+01,  9.053277224302e-02
  4.294999986887e-01,  6.478725373745e-02,  4.491700104734e+01,  1.002373620868e-01
  4.319999963045e-01,  7.516323029995e-02,  4.490662507078e+01,  1.073479577899e-01
  4.344999939203e-01,  8.653102815151e-02,  4.489525727293e+01,  1.096495315433e-01
  4.369999915361e-01,  9.887538850307e-02,  4.488291291258e+01,  1.065825149417e-01
  4.389999955893e-01,  1.094039529562e-01,  4.487238434812e+01,  1.010969802737e-01
  4.409999996424e-01,  1.204513162374e-01,  4.486133698484e+01,  9.370409697294e-02
  4.429999887943e-01,  1.319717019796e-01,  4.484981659910e+01,  8.529650419950e-02
  4.449999928474e-01,  1.439040750265e-01,  4.483788422605e+01,  7.685839384794e-02
  4.469999969006e-01,  1.562026590109e-01,  4.482558564207e+01,  6.914507597685e-02
  4.490000009537e-01,  1.688216775656e-01,  4.481296662351e+01,  6.266772001982e-02
  4.509999901056e-01,  1.817000955343e-01,  4.480008820554e+01,  5.496203154325e-02
  4.529999941587e-01,  1.948226541281e-01,  4.478696564695e+01,  4.406725615263e-02
  4.549999982119e-01,  2.081283181906e-01,  4.477365998289e+01,  3.298937529325e-02
  4.564999938011e-01,  2.181838601828e-01,  4.476360444090e+01,  2.403246425092e-02
  4.579999893904e-01,  2.282851785421e-01,  4.475350312254e+01,  1.480089686811e-02
  4.594999998808e-01,  2.383712381124e-01,  4.474341706297e+01,  6.088128779083e-03
  4.609999954700e-01,  2.484420388937e-01,  4.473334626219e+01, -2.945074578747e-03
  4.624999910593e-01,  2.584518194199e-01,  4.472333648166e+01, -1.211560703814e-02
  4.644999951124e-01,  2.716506719589e-01,  4.471013762912e+01, -2.163709141314e-02
  4.664999991655e-01,  2.846359014511e-01,  4.469715239963e+01, -2.537168003619e-02
  4.684999883175e-01,  2.974532842636e-01,  4.468433501682e+01, -2.278150059283e-02
  4.704999923706e-01,  3.101333379745e-01,  4.467165496310e+01, -1.861203648150e-02
