,time,travel,position,force
0,0.0,0.0,44.98178907459,0.002583123976365
1,0.0,0.0,44.98178807621,0.00258031510748
2,0.0,0.0,44.98178563429,0.002989769214764
3,0.0,0.0,44.98179563553,0.003266316140071
4,0.0,0.0,44.98179635823,0.003321748459712
5,0.0,0.0,44.98178997421,0.0001118804793805
6,0.0,0.0,44.98178838351,0.0006125594954938
7,0.008000001311302,5.988869816065e-06,44.98178239464,0.001634898362681
8,0.01100000739098,6.319023668766e-07,44.9817877516,0.001747074304149
9,0.01300001144409,-2.156011760235e-07,44.98178859911,0.001895728288218
10,0.01399999856949,2.509448677301e-06,44.98178587406,0.002047839341685
11,0.1140000075102,1.456878544559e-05,44.98177381472,0.001843958045356
12,0.2145000100136,3.064445991185e-05,44.98175773905,0.0005518560064957
13,0.315000012517,3.185725290678e-05,44.98175652625,-0.0006083601620048
14,0.4155000001192,1.458346559957e-05,44.98177380004,-0.001258855452761
15,0.5155000090599,0.009574471972883,44.97221391153,0.06267793476582
16,0.5219999998808,0.0204120259732,44.96137635753,0.1253457814455
17,0.526000007987,0.03158909082413,44.95019929268,0.1398111134768
18,0.5289999991655,0.04241520166397,44.93937318184,0.155985429883
19,0.5315000116825,0.0531879067421,44.92860047677,0.1684671193361
20,0.5340000092983,0.06566959619522,44.91611878731,0.1750932484865
21,0.5359999984503,0.07688480615616,44.90490357735,0.1756764799356
22,0.5380000025034,0.08916813135147,44.89262025216,0.1734715849161
23,0.5400000065565,0.1024585366249,44.87932984688,0.1699544340372
24,0.5415000021458,0.1130939126015,44.86869447091,0.1664830595255
25,0.5430000126362,0.1242633461952,44.85752503731,0.1622182279825
26,0.5445000082254,0.135936319828,44.84585206368,0.1573125272989
27,0.5460000038147,0.148143351078,44.83364503243,0.1521855741739
28,0.547499999404,0.160838663578,44.82094971993,0.1472875028849
29,0.5490000098944,0.1739917397499,44.80779664376,0.1429921537638
30,0.5505000054836,0.1876025795937,44.79418580391,0.1395131498575
31,0.5520000010729,0.2016711831093,44.7801172004,0.1369153410196
32,0.5535000115633,0.2161365151405,44.76565186837,0.1350270658731
33,0.5550000071526,0.2310290932655,44.75075929024,0.1333943754435
34,0.5560000091791,0.2411914467812,44.74059693673,0.1322308927774
35,0.5570000112057,0.2515063881874,44.73028199532,0.1307622343302
36,0.5579999983311,0.2619739174843,44.71981446602,0.1284657865763
37,0.5590000003576,0.2726245522499,44.70916383126,0.1245442777872
38,0.5600000023842,0.2834277749062,44.6983606086,0.1184560209513
39,0.5610000044107,0.294383585453,44.68740479805,0.1104146391153
40,0.5620000064373,0.3054955005646,44.67629288294,0.1010836288333
41,0.5630000084639,0.3167259693146,44.66506241419,0.09104334563017
42,0.5640000104904,0.328047990799,44.65374039271,0.08036219328642
43,0.565000012517,0.3394615650177,44.64232681849,0.06922327727079
44,0.5659999996424,0.3509361743927,44.63085220911,0.0577486641705
45,0.5670000016689,0.362471818924,44.61931656458,0.04606043174863
46,0.5680000036955,0.3740379810333,44.60775040247,0.0343111641705
47,0.569000005722,0.3856041431427,44.59618424036,0.02311121486127
48,0.5700000077486,0.3972008228302,44.58458756068,0.01343714259565
49,0.5710000097752,0.4087669849396,44.57302139857,0.006051888689399
50,0.5720000118017,0.4203026294708,44.56148575404,0.0009707118151709
51,0.5729999989271,0.4318382740021,44.54995010951,-0.002447256818414
52,0.5740000009537,0.4433434009552,44.53844498255,-0.005186209455132
53,0.5750000029802,0.4548485279083,44.5269398556,-0.008192190900445
54,0.5760000050068,0.4663231372833,44.51546524622,-0.01193059422076
55,0.5770000070333,0.4777672290802,44.50402115443,-0.01643193699419
56,0.5780000090599,0.489180803299,44.49260758021,-0.02152837254107
57,0.5790000110865,0.5005333423615,44.48125504115,-0.02692998386919
58,0.5799999982119,0.5118553638458,44.46993301966,-0.03228582069278
59,0.5810000002384,0.523116350174,44.45867203333,-0.0370770804584
60,0.582000002265,0.5343163013458,44.44747208216,-0.04095281288028
61,0.5830000042915,0.5454246997833,44.43636368372,-0.04374517127872
62,0.5840000063181,0.5565025806427,44.42528580286,-0.04542745277286
63,0.5850000083447,0.5674889087677,44.41429947474,-0.04596818611026
64,0.5860000103712,0.5783836841583,44.40340469935,-0.04543222114444
65,0.5870000123978,0.5892479419708,44.39254044154,-0.04407800361514
66,0.5879999995232,0.6000511646271,44.38173721888,-0.04224694892764
67,0.5890000015497,0.6107933521271,44.37099503138,-0.04017938300967
68,0.5900000035763,0.6214745044708,44.36031387904,-0.03795922920108
69,0.5910000056028,0.6321251392365,44.34966324427,-0.03562463447452
70,0.5920000076294,0.6427147388458,44.33907364466,-0.03319085761905
71,0.593000009656,0.6532738208771,44.32851456263,-0.03061212040484
72,0.5940000116825,0.6638023853302,44.31798599818,-0.02785027958453
73,0.5949999988079,0.6742699146271,44.30751846888,-0.02492059208453
74,0.5960000008345,0.684737443924,44.29705093958,-0.02194512821734
75,0.597000002861,0.6951439380646,44.28664444544,-0.01906884647906
76,0.5980000048876,0.7055199146271,44.27626846888,-0.01642144657671
77,0.5990000069141,0.7158958911896,44.26589249232,-0.01407922245562
78,0.6000000089407,0.7262718677521,44.25551651576,-0.01208032108843
79,0.6010000109673,0.7365868091583,44.24520157435,-0.01048959232867
80,0.6019999980927,0.7469017505646,44.23488663294,-0.009299406781793
81,0.6030000001192,0.7572166919708,44.22457169154,-0.008376250043511
82,0.6040000021458,0.767501115799,44.21428726771,-0.007521757856011
83,0.6050000041723,0.7777855396271,44.20400284388,-0.00659860111773
84,0.6060000061989,0.7880699634552,44.19371842005,-0.005576262250543
